Ordem;Família;Nomes científicos;Nomes populares;Status;FO;Altura;,;AL
Accipitriformes;Accipitridae;Accipiter striatus (Vieillot, 1808);tauató-miúdo;;1;;;O
Accipitriformes;Accipitridae;Amadonastur lacernulatus (Temminck, 1827);gavião-pombo-pequeno;"End; VU-IUCN; VUBr; Am-SP";1;;;O
Apodiformes;Trochilidae;Amazilia lactea (Lesson, 1832);;;56;;;C
Apodiformes;Trochilidae;Amazilia versicolor (Vieillot, 1818);;;;;;*
Psittaciformes;Psittacidae;Amazona aestiva (Linnaeus, 1758);;;56;;;C
Anseriformes;Anatidae;Amazonetta brasiliensis (Gmelin, 1789);ananaí;;42;;;I
Anseriformes;Anatidae;Anas bahamensis (Linnaeus, 1758);marreca-toicinho;;1;;;O
Anseriformes;Anatidae;Anas flavirostris (Vieillot, 1816);marreca-pardinha;;54;;;C
Suliformes;Anhingidae;Anhinga anhinga (Linnaeus, 1766);biguatinga;;26;;;I
Gruiformes;Aramidae;Aramides cajaneus (Statius Muller, 1776);;;1;;;O
Gruiformes;Aramidae;Aramides saracura (Spix, 1825);;;62;;;C
Gruiformes;Aramidae;Aramus guarauna (Linnaeus, 1766);;;26;;;I
Pelecaniformes;Ardeidae;Ardea alba (Linnaeus, 1758);garça-branca;;84;;;M
Pelecaniformes;Ardeidae;Ardea cocoi (Linnaeus, 1766);garça-moura;;61;;;C
Strigiformes;Tytonidae;Asio clamator (Vieillot, 1808);;;;;;*
Strigiformes;Tytonidae;Asio stygius (Wagler, 1832);;;;;;*
Strigiformes;Tytonidae;Athene cunicularia (Molina, 1782);;;;;;*
Passeriformes;Parulidae;Basileuterus culicivorus (Deppe, 1830);;;100;;;M
Psittaciformes;Psittacidae;Brotogeris tirica (Gmelin, 1788);;;93;;;M
Accipitriformes;Accipitridae;Buteo brachyurus (Vieillot, 1816);;;1;;;O
Pelecaniformes;Ardeidae;Butorides striata (Linnaeus, 1758);socozinho;;26;;;I
Passeriformes;Icteridae;Cacicus haemorrhous (Linnaeus, 1766);;;55;;;C
Anseriformes;Anatidae;Cairina moschata (Linnaeus, 1758);pato-do-mato;;7;;;R
Passeriformes;Tyrannidae;Camptostoma obsoletum (Temminck, 1824);;;84;;;M
Falconiformes;Falconidae;Caracara plancus (Miller, 1777);;;30;;;I
Piciformes;Ramphastidae;Celeus flavescens (Gmelin, 1788);;;72;;;C
Passeriformes;Furnariidae;Certhiaxis cinnamomeus (Gmelin, 1788);;;;;;*
Apodiformes;Apodidae;Chaetura meridionalis (Hellmayr, 1907);;;9;;;R
Coraciiformes;Alcedinidae;Chloroceryle amazona (Latham, 1790);;;10;;;R
Coraciiformes;Alcedinidae;Chloroceryle americana (Gmelin, 1788);;;10;;;R
Apodiformes;Trochilidae;Chlorostilbon lucidus (Shaw, 1812);;;3;;;R
Passeriformes;Thraupidae;Coereba flaveola (Linnaeus, 1758);;;91;;;M
Piciformes;Ramphastidae;Colaptes campestris (Vieillot, 1818);;;6;;;R
Piciformes;Ramphastidae;Colaptes melanochloros (Gmelin, 1788);;;6;;;R
Columbiformes;Columbidae;Columba livia (Gmelin, 1789);;;42;;;I
Columbiformes;Columbidae;Columbina talpacoti (Temminck, 1810);;;85;;;M
Passeriformes;Thraupidae;Conirostrum speciosum (Temminck, 1824);;;17;;;I
Passeriformes;Conopophagidae;Conopophaga lineata (Wied, 1831);;;90;;;M
Cathartiformes;Cathartidae;Coragyps atratus (Bechstein, 1793);urubu;;94;;;M
Passeriformes;Furnariidae;Cranioleuca pallida (Wied, 1831);;;42;;;I
Cuculiformes;Cuculidae;Crotophaga ani (Linnaeus, 1758);;;9;;;R
Passeriformes;Corvidae;Cyanocorax chrysops (Vieillot, 1818);;;20;;;I
Passeriformes;Vireonidae;Cyclarhis gujanensis (Gmelin, 1789);;;65;;;C
Passeriformes;Thraupidae;Dacnis cayana (Linnaeus, 1766);;;22;;;I
Anseriformes;Anatidae;Dendrocygna autumnalis (Linnaeus, 1758);marreca-cabloca;;3;;;R
Anseriformes;Anatidae;Dendrocygna bicolor (Vieillot, 1816);marreca-caneleira;;45;;;I
Anseriformes;Anatidae;Dendrocygna viduata (Linnaeus, 1766);irerê;;71;;;C
