+----------+----------+--------+------------------+-------------------+----------------+-----------------------------------------+------------------------------------------------+--------------------------------+----------------------+-------------+
|  reino   |   filo   | classe |      ordem       |      familia      |   subfamilia   |                 especie                 |                nome_cientifico                 |             autor              |     nome_popular     | nome_ingles |
+----------+----------+--------+------------------+-------------------+----------------+-----------------------------------------+------------------------------------------------+--------------------------------+----------------------+-------------+
| Animalia | Chordata | Aves   | Anseriformes     | Anatidae          | Dendrocygna    | D. bicolor                              | Dendrocygna bicolor                            | (Vieillot, 1816)               | marreca-caneleira    |             |
| Animalia | Chordata | Aves   | Anseriformes     | Anatidae          | Dendrocygna    | D. viduata                              | Dendrocygna viduata                            | (Linnaeus, 1766)               | irerê                |             |
| Animalia | Chordata | Aves   | Anseriformes     | Anatidae          | Dendrocygna    | D. autumnalis                           | Dendrocygna autumnalis                         | (Linnaeus, 1758)               | marreca-cabloca      |             |
| Animalia | Chordata | Aves   | Anseriformes     | Anatidae          | Cairina        | C. moschata                             | Cairina moschata                               | (Linnaeus, 1758)               | pato-do-mato         |             |
| Animalia | Chordata | Aves   | Anseriformes     | Anatidae          | Sarkidiornis   | S. sylvicola Ihering & Ihering, 1907    | Sarkidiornis sylvicola Ihering & Ihering, 1907 | ()                             | pato-de-crista       |             |
| Animalia | Chordata | Aves   | Anseriformes     | Anatidae          | Amazonetta     | A. brasiliensis                         | Amazonetta brasiliensis                        | (Gmelin, 1789)                 | ananaí               |             |
| Animalia | Chordata | Aves   | Anseriformes     | Anatidae          | Anas           | A. flavirostris Vieillot, 1816          | Anas flavirostris Vieillot, 1816               | ()                             | marreca-pardinha     |             |
| Animalia | Chordata | Aves   | Anseriformes     | Anatidae          | Anas           | A. bahamensis Linnaeus, 1758            | Anas bahamensis Linnaeus, 1758                 | ()                             | marreca-toicinho     |             |
| Animalia | Chordata | Aves   | Galliformes      | Cracidae          | Penelope       | P. superciliaris Temminck, 1815         | Penelope superciliaris Temminck, 1815          | ()                             | jacupemba            |             |
| Animalia | Chordata | Aves   | Galliformes      | Cracidae          | Penelope       | P. obscura bronzina Hellmayr, 1914      | Penelope obscura bronzina Hellmayr, 1914       | ()                             | jacuguaçu            |             |
| Animalia | Chordata | Aves   | Podicipediformes | Podicipedidae     | Tachybaptus    | T. dominicus                            | Tachybaptus dominicus                          | (Linnaeus, 1766)               | mergulhão-pequeno    |             |
| Animalia | Chordata | Aves   | Podicipediformes | Podicipedidae     | Podilymbus     | P. podiceps                             | Podilymbus podiceps                            | (Linnaeus, 1758)               | mergulhão-caçador    |             |
| Animalia | Chordata | Aves   | Suliformes       | Phalacrocorocidae | Nannopterum    | N. brasilianus brasilianus              | Nannopterum brasilianus brasilianus            | (Gmelin, 1789)                 | biguá                |             |
| Animalia | Chordata | Aves   | Suliformes       | Anhingidae        | Anhinga        | A. anhinga                              | Anhinga anhinga                                | (Linnaeus, 1766)               | biguatinga           |             |
| Animalia | Chordata | Aves   | Pelecaniformes   | Ardeidae          | Nycticorax     | N. nycticorax                           | Nycticorax nycticorax                          | (Linnaeus, 1758)               | socó-dorminhoco      |             |
| Animalia | Chordata | Aves   | Pelecaniformes   | Ardeidae          | Butorides      | B. striata                              | Butorides striata                              | (Linnaeus, 1758)               | socozinho            |             |
| Animalia | Chordata | Aves   | Pelecaniformes   | Ardeidae          | Ardea          | A. cocoi Linnaeus, 1766                 | Ardea cocoi Linnaeus, 1766                     | ()                             | garça-moura          |             |
| Animalia | Chordata | Aves   | Pelecaniformes   | Ardeidae          | Ardea          | A. alba Linnaeus, 1758                  | Ardea alba Linnaeus, 1758                      | ()                             | garça-branca         |             |
| Animalia | Chordata | Aves   | Pelecaniformes   | Ardeidae          | Egretta        | E. thula                                | Egretta thula                                  | (Molina, 1782)                 | garça-branca-pequena |             |
| Animalia | Chordata | Aves   | Pelecaniformes   | Threskiornithidae | Platalea       | P. ajaja Linnaeus, 1758                 | Platalea ajaja Linnaeus, 1758                  | ()                             | colhereiro           |             |
| Animalia | Chordata | Aves   | Cathartiformes   | Cathartidae       | Coragyps       | C. atratus                              | Coragyps atratus                               | (Bechstein, 1793)              | urubu                |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Leptodon       | L. cayanensis                           | Leptodon cayanensis                            | (Latham, 1790)                 | gavião-gato          |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Elanus         | E. leucurus                             | Elanus leucurus                                | (Vieillot, 1818)               | gavião-peneira       |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Harpagus       | H. diodon                               | Harpagus diodon                                | (Temminck, 1823)               | gavião-bombachinha   |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Accipiter      | A. striatus Vieillot, 1808              | Accipiter striatus Vieillot, 1808              | ()                             | tauató-miúdo         |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Rostrhamus     | R. sociabilis                           | Rostrhamus sociabilis                          | (Vieillot, 1817)               | gavião-caramujeiro   |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Ictinia        | I. plumbea                              | Ictinia plumbea                                | (Gmelin, 1788)                 | sovi                 |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Amadonastur    | A. lacernulatus                         | Amadonastur lacernulatus                       | (Temminck, 1827)               | gavião-pombo-pequeno |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Rupornis       | R. magnirostris                         | Rupornis magnirostris                          | (Gmelin, 1788)                 |                      |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Parabuteo      | P. unicinctus                           | Parabuteo unicinctus                           | (Temminck, 1824)               |                      |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Geranoaetus    | G. albicaudatus                         | Geranoaetus albicaudatus                       | (Vieillot, 1816)               |                      |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Buteo          | B. brachyurus Vieillot, 1816            | Buteo brachyurus Vieillot, 1816                | ()                             |                      |             |
| Animalia | Chordata | Aves   | Accipitriformes  | Accipitridae      | Spizaetus      | S. tyrannus                             | Spizaetus tyrannus                             | (Wied, 1820)                   |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Aramus         | A. guarauna                             | Aramus guarauna                                | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Aramides       | A. cajaneus                             | Aramides cajaneus                              | (Statius Muller, 1776)         |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Aramides       | A. saracura                             | Aramides saracura                              | (Spix, 1825)                   |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Pardirallus    | P. nigricans                            | Pardirallus nigricans                          | (Vieillot, 1819)               |                      |             |
| Animalia | Chordata | Aves   | Gruiformes       | Aramidae          | Gallinula      | G. galeata                              | Gallinula galeata                              | (Lichtenstein, 1818)           |                      |             |
| Animalia | Chordata | Aves   | Charadriiformes  | Charadriidae      | Vanellus       | V. chilensis                            | Vanellus chilensis                             | (Molina, 1782)                 |                      |             |
| Animalia | Chordata | Aves   | Charadriiformes  | Charadriidae      | Tringa         | T. solitaria Wilson, 1813               | Tringa solitaria Wilson, 1813                  | ()                             |                      |             |
| Animalia | Chordata | Aves   | Charadriiformes  | Charadriidae      | Jacana         | J. jacana                               | Jacana jacana                                  | (Linnaeus, 1766)               |                      |             |
